"meanfreq","sd","median","Q25","Q75","skew","sp.ent","sfm","meanfun"
3521.667,2332.212,2997.2935,1660.408,4621.8667,0.11656897,2.3086963,0.00845027,32.33476
4189.9976,2430.9768,4302.741,1832.0284,5901.071,0.045607697,3.52241,0.022862796,42.56545
3154.4553,2150.4973,2609.9685,1460.612,4053.9282,-0.16147499,2.0278914,0.0068532764,26.15712
3896.8704,2737.1133,2286.768,1454.7572,6997.3916,0.17864569,2.4595647,0.0068285614,20.590954
2197.8733,1453.9325,1781.67,924.4381,3372.3428,0.24019453,0.9914529,0.033732537,10.996076
3160.7905,2044.3563,2503.422,1294.0767,5144.961,0.24162002,1.8994998,0.032763854,22.31393
3230.074,1957.0359,2497.4963,1832.6006,4102.5923,0.114013515,1.5934973,0.008977317,12.553809
3113.264,1749.8718,2700.9211,1689.711,4139.2334,0.115100935,1.5326612,0.011707602,14.57379
3335.8923,1457.8795,3384.699,2316.8174,3739.203,-0.0028339117,1.2575682,0.010307387,15.693747
3134.6643,1398.951,3335.7986,1957.7373,3711.6711,0.13645355,1.3895545,0.008642029,15.91166
2778.6775,1536.5719,2704.5679,1565.8412,3436.6367,0.09723897,1.4836632,0.010837869,13.529408
3195.5527,2045.664,2386.4685,1666.5061,3819.0632,-0.016891439,1.950997,0.008395891,15.845412
3143.3508,1986.1077,2611.0723,1496.767,4248.0815,0.13261592,1.5614315,0.012992847,12.627324
3163.5215,1990.2782,2396.8916,1683.7148,3978.2537,0.061807,1.5957141,0.007903334,15.473305
2374.2148,1407.172,1832.0054,1487.4783,2650.7874,-0.098381415,1.1612151,0.008517793,7.0629797
3295.4387,2074.4685,2286.2888,1675.5519,4407.023,0.23551472,1.7456328,0.014527361,17.20478
3328.2688,2100.5925,2864.2683,1537.8647,4491.385,0.1262025,1.7186621,0.012254361,15.126114
3007.0132,1728.4459,2645.7166,1714.5995,3641.7385,0.098468676,1.39412,0.007134062,14.206413
2335.6619,1158.6752,2010.9409,1557.6332,2889.601,-0.15845439,1.058233,0.013101224,7.837858
4015.3838,1760.2968,4157.8345,2468.9805,5144.714,0.41831708,2.3300278,0.012186382,27.750622
3667.6663,2016.8379,3045.1577,2072.8606,5082.537,0.25042576,2.0706668,0.010899387,20.490978
3858.8237,2076.944,3937.8394,2108.1008,4818.3003,-0.12091656,2.8446867,0.010001309,28.087925
3754.1907,1422.1525,3985.1562,2490.788,4632.0376,-0.29817122,2.1528049,0.011610829,35.60855
2846.666,1713.9987,2427.2485,1507.6577,3707.1536,-0.061290525,1.2878883,0.004427344,10.011181
2625.6226,2311.3953,1270.6212,919.0542,4648.37,0.16673215,2.0267477,0.022895321,22.717573
3963.8635,2243.1665,4976.572,1615.4092,5341.1084,0.076082624,3.7295547,0.03669138,43.522224
3352.632,2410.0596,2609.6682,1180.3446,5781.4126,-0.25869447,2.4139967,0.03932703,32.12477
4095.4956,3051.276,3334.2573,1157.9922,7488.609,-0.39012414,3.0879233,0.0753863,33.168373
4069.1887,2935.0518,3233.2366,1391.8257,7635.496,-0.40467492,3.2342,0.074494176,35.18797
3333.39,1868.3353,3020.2642,1668.7639,4873.014,-0.11942055,2.0714214,0.009580408,21.106329
2588.912,997.21686,2548.0369,1792.5166,3123.256,0.06998615,2.970143,0.0061386875,47.666256
5056.5815,2117.7734,4787.6587,3260.2405,7309.0146,0.14809519,1.9630461,0.033747867,13.868087
5251.7124,2195.4214,5216.6743,3238.5793,7472.2275,0.17405443,2.0953083,0.047356013,18.133884
5133.063,2513.4458,5851.977,2569.2212,7443.9536,0.35081688,2.098415,0.047386546,13.814985
5096.4185,2226.0918,4921.635,3195.6409,7486.2896,0.16306238,1.8838525,0.025400415,9.998917
4736.504,2126.6104,4135.3145,3042.8289,7060.7617,0.21310672,1.7723714,0.03250707,12.199058
5792.3955,1912.794,6448.063,4258.556,7520.7534,0.13920379,2.2592003,0.050774544,16.284544
4896.7817,2081.2268,4245.555,3143.3455,7191.6016,0.16431613,1.7796224,0.040058542,12.477849
5398.366,2126.4194,5717.8047,3462.5232,7437.0317,0.009377398,2.133453,0.04808484,15.98256
5738.506,1883.8204,6248.4775,3944.6567,7536.262,0.28445214,2.1845965,0.05871249,19.275236
5107.304,2320.2366,4603.286,3110.4746,7491.778,0.10648575,1.8250437,0.054917805,14.478735
5649.9507,2278.0994,6960.3105,3335.1687,7600.785,0.17429872,1.9643987,0.05613542,15.243979
4826.5015,2285.3657,4604.287,2571.5918,7293.244,0.27811685,1.9488708,0.02710705,11.332052
5389.819,2161.231,5830.546,3378.029,7528.1235,0.19382039,2.3450108,0.051333047,16.51697
4708.514,2226.6147,4016.5364,2814.7637,7315.261,0.31007153,1.904495,0.037944425,16.04248
5003.6743,2199.8806,4564.0107,3173.446,7437.8257,0.123122275,1.7338582,0.036786042,13.93831
5019.638,2308.8645,4987.4077,2813.153,7452.8364,0.21110854,1.9399893,0.03255167,11.989879
1887.6499,1294.6356,1444.3002,1054.9521,2195.7034,0.08530869,1.2572836,0.018928008,12.659829
2812.9258,1810.1938,2238.017,1474.2802,4020.732,-0.049909674,1.8217736,0.024120247,17.327198
3131.0146,2061.887,3031.6628,1256.5159,4784.839,0.14486632,2.013634,0.016201075,21.014244
2149.7302,1324.8562,1640.0924,1250.2438,2777.9126,0.08746164,1.0107584,0.010138075,11.844937
2712.9678,1552.3636,2128.9072,1423.0479,4242.591,0.15304938,1.6277486,0.0031746407,18.778652
2411.683,1308.6105,2278.3413,1229.1807,3334.4978,0.1231534,1.3971107,0.0043044863,15.715648
2606.984,1571.7109,1993.0836,1538.7965,3409.861,0.14618136,1.5129167,0.006745221,19.708176
5725.1245,2790.4683,7102.844,2368.7317,8115.8857,0.115379885,4.8229647,0.008906421,36.310135
4876.159,2584.2188,5869.024,1906.3291,7227.4795,0.15041351,1.5156474,0.0049081566,9.548737
2996.9048,1234.6041,3087.5342,2073.8293,3410.277,-0.45862955,1.8790532,0.0055129686,23.929338
2417.1099,1814.14,2044.5485,1140.2767,3079.6882,-0.039919693,1.4345938,0.0144358035,13.950475
3049.1982,2059.2175,2864.8076,1378.8702,4010.5256,-0.29783234,1.4656049,0.017446406,14.483588
2897.1648,2181.4163,2658.2422,1187.2002,3632.216,-0.11080639,2.059123,0.013743958,18.934584
