id,meanfreq,sd,median,Q25,Q75,IQR,skew,kurt,sp.ent,sfm,mode,centroid,meanfun,minfun,maxfun,meandom,mindom,maxdom,dfrange,modindx,gender,accent
0,3521.667,2332.212,2997.2935,1660.408,4621.8667,2961.4585,0.11656897,0.9817728,2.3086963,0.00845027,1761.3335,3521.667,32.33476,153.19336,3995.7898,0.060848564,0.0009842593,194.17128,194.17029,5914.5806,female,canada
1,4189.9976,2430.9768,4302.741,1832.0284,5901.071,4069.0425,0.045607697,0.9214181,3.52241,0.022862796,2095.4988,4189.9976,42.56545,154.0434,3993.462,0.044957574,0.00070602656,102.278595,102.277885,7693.9453,female,canada
2,3154.4553,2150.4973,2609.9685,1460.612,4053.9282,2593.3164,-0.16147499,0.38824806,2.0278914,0.0068532764,1577.7277,3154.4553,26.15712,153.461,3995.5237,0.081441246,0.0002950821,164.99316,164.99287,5261.6064,female,canada
3,4384.338,3029.3022,3426.479,1596.0721,7283.314,5687.2417,0.024167618,1.4739316,4.823092,0.08447127,2192.669,4384.338,37.566265,153.63995,3994.671,0.01039643,3.1658587e-08,29.667875,29.667875,7942.756,nan,nan
4,4557.1504,3158.1113,4543.1157,1608.1653,8074.3354,6466.1704,0.11711588,1.2885699,3.820815,0.100988194,2279.0752,4557.1504,29.349243,153.85347,3994.6458,0.018489141,9.2678687e-07,85.19259,85.19259,8383.634,nan,nan
5,4069.004,2983.199,2565.4866,1305.284,6961.581,5656.297,0.13049391,0.76685476,3.7267017,0.073939204,2035.002,4069.004,29.893677,153.25154,3995.253,0.015215489,6.0529646e-07,32.57839,32.57839,7575.4688,nan,nan
6,2166.9187,1904.5583,947.89185,568.7299,4216.9395,3648.2095,-0.14378873,0.08001751,1.0116687,0.0032997336,1083.9594,2166.9187,9.82967,152.40427,3991.4263,0.041706227,0.00034657502,308.7071,308.70676,4090.4583,nan,nan
7,2289.331,1820.533,1244.3424,662.3755,4186.0586,3523.6829,-0.09632184,0.00740273,1.1801072,0.0054426403,1145.1655,2289.331,14.606999,152.66756,3988.3965,0.041479163,0.0002930049,126.733536,126.733246,4444.076,nan,nan
8,4754.9194,2419.693,6204.235,1808.4658,6699.605,4891.139,-0.09517304,0.52771854,5.3459783,0.0241214,2377.9597,4754.9194,46.83758,153.31534,3995.206,0.010756522,3.5135204e-06,35.099724,35.09972,9013.909,nan,nan
9,4038.2817,2608.1096,3403.586,1392.9001,6694.478,5301.5776,-0.09327315,0.2037678,4.429074,0.009769993,2019.6409,4038.2817,36.762054,152.50822,3994.2185,0.05415525,0.000102183345,196.0678,196.06769,7621.9243,nan,nan
10,4245.5327,2590.7078,4481.1846,1441.8926,6813.4795,5371.587,-0.12782812,0.37597045,4.8159804,0.010174222,2123.2664,4245.5327,39.918045,152.36195,3995.15,0.04949494,0.00035759446,146.69633,146.69598,7948.6914,nan,nan
11,4060.567,2481.2476,4499.871,1461.1299,6484.6655,5023.5356,-0.14738262,0.31917757,4.255202,0.009367818,2030.7834,4060.567,37.98371,152.70709,3994.6719,0.053406462,0.00012745721,113.72986,113.72973,7706.4253,nan,nan
12,4936.9946,2393.9675,6321.3325,2110.761,6800.1963,4689.435,-0.043455694,0.5890583,5.312473,0.013885676,2468.9973,4936.9946,49.99412,152.36525,3995.6287,0.023965415,1.678655e-05,80.905846,80.90583,9329.358,nan,nan
13,2395.5835,1425.8285,1883.654,1431.2959,2935.433,1504.1372,0.2293413,0.6316582,1.3462114,0.003008815,1198.2917,2395.5835,21.29166,153.12193,3994.1584,0.023832107,7.181296e-11,39.081726,39.081726,4100.8877,male,us
14,5012.665,2963.7068,6353.4897,1705.3671,7848.439,6143.072,-0.3733059,2.7109194,3.9611142,0.11074625,2506.8325,5012.665,50.10727,152.4209,3995.3142,0.010819395,2.5933196e-06,28.004316,28.004314,9699.244,male,us
